"i","j","1-i-j","MSE.Regression","MSPE.Regression","MSE.forest","MSPE.forest","MSPE.Knn","MSE.Ensemble","MSPE.Ensemble"
0.5,0.4,0.1,19.6045666711883,20.4192522548888,21.1138353242202,21.1818575896798,29.6352272727273,16.1416682379644,20.5702135883352
0.5,0.5,0,19.7789033711099,19.6628438776656,21.2985188839151,20.3410540285011,28.1132954545455,15.3222887594126,19.6921172767522
0.6,0,0.4,19.6406653729188,20.2546365035555,21.1587008678447,20.876568129948,29.0148863636364,21.5645980253658,21.5528821724681
0.6,0.1,0.3,19.4863547620573,20.8735963303315,20.9953714263625,21.624931233383,29.7736363636364,19.6516700108136,21.6228150710136
0.6,0.2,0.2,19.6796309941256,20.044655362248,21.1287683938399,20.8959734858826,28.5755681818182,18.3203646728025,20.3245268154511
0.6,0.3,0.0999999999999999,19.3810145687427,21.2854236041844,20.9104089202453,22.0167058344281,30.3519318181818,16.802761232944,21.3852527915065
0.6,0.4,0,19.7062250528535,19.9884423566301,21.1335890899596,20.6974927650255,28.4227272727273,16.0497949801613,19.9621768189023
0.7,0,0.3,19.5363925002775,20.6826690075086,20.9420588549278,21.6517079100751,29.1393181818182,20.6342839368831,21.3118741144353
0.7,0.1,0.2,19.7846193005085,19.6495735708603,21.2228848656903,20.4746794051887,28.3639772727273,19.3173554495299,19.8811580718121
0.7,0.2,0.0999999999999999,19.7605627122592,19.7672203181705,21.2044630995507,20.542737597824,28.0694318181818,18.0050419469532,19.749866427223
0.7,0.3,0,19.8667447924734,19.3005569814033,21.3236240249449,20.0210109341741,27.6043181818182,17.0322443949535,19.2504112457965
0.8,0,0.2,19.6527244787824,20.183514266707,21.1868456157033,20.7672556317474,28.6525,20.1544004801053,20.4083875338478
0.8,0.1,0.1,19.5242508727945,20.6643114420703,21.0437613241138,21.3286164409498,29.8452272727273,18.7024246222299,20.7367968408678
0.8,0.2,0,19.5573626080095,20.5731051346717,21.0348753667878,21.3055989331124,29.7004545454545,17.653253474204,20.5164610100196
0.9,0,0.1,19.8672744808583,19.3050577877465,21.3656459810633,19.9776342072726,28.0436363636364,19.9887813043481,19.3393855078735
0.9,0.1,0,19.768339719379,19.7129240834448,21.1525507335784,20.6291424133295,28.2082954545455,18.7898271924839,19.6931167570789
1,0,0,19.5625859649685,20.4774612340207,21.0376861589882,21.2213347927935,29.1394318181818,19.5625859649685,20.4774612340207
