"i","j","1-i-j","MSE.Regression","MSPE.Regression","MSE.forest","MSPE.forest","MSPE.Knn","MSE.Ensemble","MSPE.Ensemble"
0,0,1,19.7177954139222,19.9138395783411,21.1609075335082,20.6512418250968,28.8120454545455,31.9822,28.8120454545455
0,0.1,0.9,19.5547702309252,20.5570586733542,21.0527880861331,21.2235639834509,29.4534090909091,28.7929229432753,27.7951485678618
0,0.2,0.8,19.6571551988277,20.1671129135971,21.1201592367832,20.8807179804247,28.7389772727273,25.719704609384,25.6598339565942
0,0.3,0.7,19.7088128689733,19.9521321878703,21.1625565098049,20.7837472683829,28.3088636363636,23.1146732959819,24.0909119201542
0,0.4,0.6,19.6536189294536,20.1559334138255,21.1498120140813,20.8603409146714,29.4521590909091,20.7010964108075,23.8106883565109
0,0.5,0.5,19.4301313398802,21.1040473737325,20.9636994633624,21.6831185063759,30.0921590909091,18.4243291613077,23.5590370953688
0,0.6,0.4,19.5883024264053,20.4169432839128,21.0224606167784,21.2721017380717,29.1034090909091,16.6004329831182,22.2048664809018
0,0.7,0.3,19.523862021151,20.6796869013569,21.098721448999,21.2810833188319,29.3921590909091,15.0599097062201,21.780899503538
0,0.8,0.2,19.651992640781,20.1536863355445,21.1419399787353,20.8455882824837,28.7293181818182,13.6742852736464,20.9777393359616
0,0.9,0.1,19.4463303214552,20.9784863982189,20.8996400186957,21.88282444605,29.9742045454545,12.4181896096837,21.8706090758463
0,1,0,19.5190506627077,20.6865130644824,21.0037628978704,21.5256096814043,29.42,11.6182631505494,21.5256096814043
0.1,0,0.9,19.9862560168908,18.8550022941094,21.4530947895543,19.6233836037217,27.31875,30.0545536275351,25.6499756553887
0.1,0.1,0.8,19.3691261553261,21.3228521680755,20.9239107836325,22.0590357814702,30.5711363636364,26.1922519065424,27.3414322910967
0.1,0.2,0.7,19.6211398242387,20.3030920598277,21.0930995838684,21.0540159375292,28.8548863636364,23.9202364612926,24.4809226961528
0.1,0.3,0.6,19.7760971256881,19.6951930277965,21.2075512121135,20.5644002131991,28.0730681818182,21.6424260430658,22.7325936880946
0.1,0.4,0.5,19.3241124936479,21.4711963262751,20.8055372356606,22.2651552459759,30.5404545454545,19.1175402981412,23.9985439589564
0.1,0.5,0.4,19.6526020299933,20.1708876444631,21.1487230989482,20.9828476084339,29.0205681818182,17.3674592463124,21.8525157892873
0.1,0.6,0.3,19.5656608440978,20.5447693072964,21.0288557987148,21.2864288114993,29.3228409090909,15.6841574683916,21.6256503144705
